customer_id,spending
260,619.9
261,80.45
262,227.82
263,5.01
264,71.57
265,180.71
266,54.74
267,1735.23
268,43.98
269,144.31
270,286.26
271,1379.57
272,43.68
273,988.11
274,247.72
275,75.35
276,426.04
277,310.71
278,119.07
279,266.07
280,154.1
281,280.4
282,541.62
283,1641.26
284,55.4
285,3164.15
286,23.51
287,203.95
288,495.7
289,342.81
290,115.9
291,190.61
292,135.42
293,120.63
294,678.25
295,375.56
296,106.54
297,720.19
298,353.81
299,649.0
300,520.9
301,90.49
302,124.93
303,599.89
304,509.0
305,238.63
306,281.69
307,1133.65
308,120.32
309,471.78
310,191.98
311,188.44
312,914.64
313,658.85
314,649.51
315,1172.13
316,250.94
317,554.65
318,168.63
319,361.04
320,209.31
321,274.9
322,499.79
323,91.66
324,3013.52
325,73.17
326,57.0
327,982.14
328,632.7
329,517.47
330,520.1
331,241.12
332,83.37
333,267.99
334,108.57
335,788.51
336,205.11
337,90.87
338,166.39
339,401.62
340,124.4
341,91.23
342,327.81
343,328.31
344,133.18
345,139.04
346,323.26
347,43.05
348,45.2
349,103.32
350,189.4
351,355.34
352,1437.16
353,684.84
354,201.96
355,239.17
356,73.48
357,239.32
358,173.06
359,360.42
360,90.68
361,456.33
362,1539.61
363,214.75
364,396.25
365,560.13
366,151.19
367,320.19
368,248.42
369,275.12
370,96.77
371,252.0
372,444.79
373,1396.01
374,773.65
375,3241.59
376,97.43
377,697.0
378,304.91
379,3387.22
380,92.76
381,89.33
382,119.19
383,19.13
384,130.2
385,98.4
386,293.09
387,368.75
388,2324.84
389,765.48
390,122.45
391,83.25
392,441.56
393,50.19
394,2203.39
395,1007.6
396,139.35
397,31.32
398,1242.21
399,213.27
400,1080.72
401,36.11
402,119.19
403,246.24
404,258.88
405,142.58
406,516.68
407,67.96
408,206.26
409,282.69
410,453.65
411,574.75
412,63.46
413,38.82
414,1133.67
415,364.59
416,99.67
417,1574.01
418,281.13
419,1007.43
420,265.34
421,2901.25
422,2011.04
423,181.5
424,785.16
425,530.83
426,1264.41
427,76.87
428,557.39
429,871.41
430,29.65
431,59.15
432,21.18
433,177.1
434,578.85
435,1484.49
436,267.44
437,1727.34
438,46.71
439,31.69
440,228.91
441,387.95
442,235.28
443,20.47
444,219.87
445,51.14
446,546.54
447,379.9
448,79.21
449,132.07
450,68.64
451,226.96
452,769.83
453,74.97
454,448.03
455,129.5
456,94.5
457,215.2
458,70.65
459,125.92
460,58.12
461,2585.49
462,255.27
463,105.67
464,316.33
465,213.84
466,187.7
467,511.32
468,607.29
469,129.46
470,122.61
471,175.9
472,15.45
473,39.72
474,1261.74
475,1761.57
476,181.48
477,488.76
478,355.49
479,9844.39
480,937.76
481,209.87
482,77.74
483,35.6
484,312.36
485,98.73
486,44.4
487,112.63
488,66.83
489,1853.02
490,704.84
491,242.36
492,1445.1
493,268.5
494,87.05
495,1521.95
496,467.17
497,70.48
498,194.73
499,85.56
500,46.56
